SID,CID,GRADE
04006870,EE-02,65.7
04005890,CHEM-03,91.7
04009901,PSY-04,68.4
04004190,STAT-01,80.4
04006331,EE-02,96.2
04000211,MATH-03,76.3
04002401,CS-03,37.2
04008291,PSY-03,88.9
04007661,SE-05,46.5
04004561,MUS-03,63.7
04007440,PHYS-02,57.5
04008060,ECON-04,82.6
04002000,LAW-01,89.2
04005430,LAW-04,73.7
04006440,CHEM-04,84.9
04006730,EE-03,39.7
04005670,LAW-03,98.5
04005941,EE-01,52.4
04003240,BIO-05,81.0
04006420,BME-03,62.1
04006340,BIO-01,30.0
04004960,ENV-03,47.4
04003281,SOC-03,78.2
04008901,PHIL-05,78.4
04007920,SOC-05,67.4
04004660,PSY-02,64.7
04002871,STAT-02,68.5
04005310,LAW-02,62.0
04001390,BME-02,76.3
04006781,BME-05,82.9
04006981,MATH-05,49.5
04001821,ME-04,60.9
04001131,EE-01,76.6
04003101,CS-02,86.1
04003451,CHEM-04,61.1
04009320,SE-03,69.7
04007470,PHYS-01,80.2
04004001,PSY-05,53.6
04009590,LAW-03,88.7
04004151,EE-04,96.0
04006910,BME-01,66.9
04007011,MATH-03,30.6
04008031,CS-01,83.5
04004561,LAW-02,78.8
04008861,BIO-03,64.1
04004061,MUS-02,61.6
04004680,ME-01,97.4
04009671,ECON-03,52.9
04007961,EE-04,93.4
04007501,PHYS-03,88.0
04008711,EE-03,57.7
04002930,CE-01,40.2
04003851,CS-01,44.9
04000651,MUS-04,66.4
04001800,ECON-02,58.7
04003720,ART-03,61.4
04006781,HIST-05,87.9
04001850,BIO-02,75.8
04005151,CS-01,77.0
04003811,ENV-03,30.0
04009130,PHIL-05,63.7
04005790,SOC-02,79.8
04006471,ENV-03,51.3
04009990,SE-04,53.2
04001261,BIO-02,54.1
04008590,MUS-02,58.4
04003860,CS-03,75.4
04007661,BME-01,91.6
04009920,CS-03,68.3
04005131,CHEM-01,73.4
04009941,ART-05,48.0
04003091,MUS-02,90.9
04005041,PSY-02,86.0
04007171,PSY-03,49.6
04001140,EE-05,92.1
04001680,HIST-02,80.8
04005771,ECON-02,92.2
04001301,SOC-02,83.7
04008280,STAT-04,83.1
04008291,MUS-04,75.0
04001951,HIST-02,81.7
04000391,MATH-03,94.0
04009601,CHEM-04,84.9
04005261,ECON-04,48.9
04005011,BME-05,92.7
04001571,ENV-05,30.0
04008011,MATH-02,87.3
04000540,CS-01,79.8
04001050,SOC-05,60.3
04005691,ENV-05,82.3
04004250,CHEM-03,67.7
04006751,BME-03,91.5
04007391,ECON-04,65.5
04008611,BME-03,60.5
04003801,PHIL-03,54.0
04003151,CE-05,46.5
04004141,HIST-03,64.0
04009001,SOC-05,65.5
04008980,SE-04,72.6
04006841,STAT-04,71.9
04005161,CS-05,50.0
04009540,PHIL-02,69.5
04003831,CHEM-03,66.5
04005191,ENV-03,76.0
04005840,PHIL-03,36.4
04009371,HIST-02,65.6
04002721,MATH-03,61.7
04002461,EE-02,38.8
04005951,PSY-05,82.3
04007431,STAT-01,64.4
04005530,EE-05,53.7
04002721,STAT-05,91.4
04001040,ME-05,95.0
04009920,MATH-05,67.4
04009411,SE-01,79.3
04004520,BIO-01,69.7
04006870,PSY-01,42.7
04001100,STAT-03,47.2
04008400,CE-01,79.6
04000600,ECON-04,95.2
04006851,CE-04,82.5
04009230,SOC-03,52.4
04006340,CS-03,78.7
04008090,MUS-04,88.7
04007961,BIO-01,64.0
04007091,ENV-05,86.9
04003730,ENV-04,69.7
04000581,CHEM-01,67.6
04004900,BME-03,94.8
04003401,CHEM-02,61.6
04001040,ENV-01,83.9
04005120,CHEM-03,67.0
04001561,MATH-04,75.9
04002910,PHIL-03,80.9
04004780,BIO-01,92.2
04005280,MATH-03,81.6
04001930,SOC-01,67.6
04005330,CE-05,36.4
04001741,STAT-04,75.4
04003120,SOC-01,90.5
04002171,PHYS-05,78.4
04004680,ECON-01,86.0
04005790,SE-05,93.8
04008320,PSY-03,73.9
04000110,PSY-04,83.3
04001530,PSY-05,67.1
04007171,MUS-04,55.9
04005910,SOC-01,63.1
04002111,CS-04,82.5
04007351,LAW-02,75.9
04008750,PSY-01,52.4
04007120,ECON-01,78.9
04002361,PHYS-04,66.6
04001431,PHIL-04,75.4
04000140,SOC-04,67.0
04000671,ART-04,51.9
04007930,STAT-04,43.7
04004840,CHEM-02,94.7
04004501,HIST-03,73.0
04008641,BIO-02,61.8
04002650,MUS-05,55.5
04007531,BME-04,78.6
04003660,PSY-02,90.4
04006920,BME-04,84.2
04000270,MATH-02,66.4
04007840,BME-01,72.8
04002050,CE-01,51.8
04001550,PHIL-04,74.6
04009171,SE-02,83.2
04006501,BME-02,74.3
04006761,MUS-05,93.2
04004890,ART-04,60.6
04004290,BIO-04,93.3
04000821,MATH-02,94.8
04003610,ECON-05,67.5
04009520,STAT-03,83.2
04008160,BME-02,65.3
04005401,PSY-01,89.3
04004471,EE-02,54.6
04003411,ME-02,80.7
04003481,ECON-05,80.9
04004050,ECON-02,66.4
04000291,BIO-03,69.2
04009651,PHIL-04,60.3
04003161,CS-05,44.0
04009280,ART-05,86.0
04003851,ME-04,76.1
04007760,ECON-04,93.0
04004731,MUS-02,80.9
04005151,ME-04,95.0
04007941,EE-05,50.3
04003370,BME-02,75.0
04000420,BIO-01,56.0
04008351,CHEM-03,81.2
04002590,ENV-03,70.2
04008950,CHEM-03,42.4
04006091,BIO-04,64.0
04006231,EE-02,80.3
04003641,SE-02,95.5
04006770,STAT-04,82.2
04000891,MATH-04,46.2
04004631,SOC-05,64.7
04002120,STAT-05,48.9
04003010,ART-05,72.2
04003911,BME-04,52.7
04003750,CS-02,65.5
04005790,BME-01,68.1
04004930,CHEM-05,98.6
04009030,PHYS-01,88.4
04000300,PHYS-03,60.8
04004371,CE-04,72.6
04001050,PSY-05,70.8
04003970,PHYS-03,90.8
04007700,BIO-04,87.7
04004290,BME-04,59.6
04009391,HIST-02,56.8
04004161,ART-04,80.9
04006560,MATH-01,71.3
04002561,ENV-01,56.0
04004970,MATH-05,85.9
04002821,BME-05,67.2
04001821,ART-05,84.1
04001241,ENV-01,72.8
04008280,BME-03,84.2
04006600,BME-04,71.4
04000540,ME-04,89.2
04001281,ENV-02,68.1
04008861,ENV-01,46.2
04000310,CE-04,62.9
04003500,CS-04,87.7
04008471,BIO-05,80.1
04003181,EE-04,59.1
04002980,MUS-04,77.2
04001441,MATH-04,81.9
04001290,CS-04,87.7
04006861,MUS-01,57.3
04008221,ME-01,63.6
04003081,HIST-01,85.0
04000201,PHIL-05,72.7
04002530,PSY-01,86.7
04006680,SE-02,63.9
04007961,CS-03,65.8
04002090,MATH-01,68.1
04006171,CS-05,92.9
04001200,BIO-01,58.6
04003961,CE-01,94.2
04009511,STAT-01,69.2
04005810,CE-01,77.2
04006990,EE-01,68.4
04003161,CHEM-01,65.2
04005351,ENV-04,59.2
04004250,ART-01,68.4
04004930,SE-01,76.6
04007700,BME-04,86.3
04006870,ECON-05,71.7
04001670,SOC-03,46.6
04004511,PSY-02,58.5
04000800,ENV-05,30.0
04002821,HIST-05,67.6
04001880,MUS-02,93.3
04000410,ENV-03,72.2
04003691,ME-04,46.6
04003601,SE-02,80.3
04004530,MATH-01,95.0
04001200,CE-05,56.5
04008620,CE-02,63.2
04004061,ME-01,78.2
04004770,CS-01,94.5
04007531,SOC-03,70.9
04003020,CS-04,86.1
04008721,SOC-05,70.0
04003770,SE-03,91.2
04003801,MATH-04,55.2
04009771,ART-04,84.8
04001831,STAT-05,92.0
04007850,EE-01,82.7
04009200,STAT-04,64.5
04004520,MATH-05,72.7
04001400,SOC-05,75.4
04001071,BME-02,62.6
04004240,PHIL-02,82.8
04000821,CS-02,94.7
04005141,EE-04,34.2
04009230,EE-01,63.2
04003530,ENV-03,96.1
04006861,ME-01,87.6
04003790,MUS-05,64.0
04009790,ENV-04,51.5
04001060,LAW-01,79.7
04005981,ME-03,88.6
04004871,EE-02,53.3
04008711,SE-03,63.2
04002291,SOC-01,84.3
04000660,PHIL-02,55.2
04008570,SE-04,60.5
04005210,CE-01,87.4
04003911,SOC-03,77.0
04002391,CE-03,89.8
04005910,SE-04,35.9
04009641,EE-05,85.4
04004290,SOC-03,77.9
04007130,HIST-03,67.4
04005851,PHYS-04,69.6
04000941,SOC-03,45.0
04002751,ME-04,75.7
04002960,SE-05,51.8
04007120,PHIL-02,78.5
04001131,MUS-01,77.7
04008390,CS-03,76.0
04001721,BME-02,91.9
04002990,HIST-02,54.4
04008371,PSY-05,80.0
04006231,PSY-01,73.9
04005061,ME-01,38.2
04009701,STAT-02,74.5
04006201,ME-01,85.8
04002321,ART-03,60.3
04003930,SE-05,89.6
04004631,PSY-05,86.3
04002681,BME-02,30.4
04001100,PHYS-05,84.1
04001750,LAW-03,81.5
04004250,PHYS-05,88.5
04005491,EE-05,39.8
04007950,SOC-03,31.8
04004670,ECON-04,35.0
04004260,CE-01,81.6
04004270,EE-02,81.7
04005560,SE-03,65.6
04009890,MUS-01,74.6
04001170,CS-05,96.0
04004341,CE-01,78.2
04001961,BIO-03,55.8
04005240,BIO-02,80.6
04001140,MUS-01,81.4
04003070,ME-02,64.6
04004300,ENV-04,89.5
04003580,CS-02,84.2
04009740,PSY-02,90.0
04005290,MATH-03,54.9
04006621,HIST-01,82.1
04001390,MUS-03,57.0
04007501,ECON-02,64.1
04007690,ECON-04,38.5
04005020,ECON-01,61.7
04002461,ECON-05,58.2
04007250,EE-05,83.8
04000641,MATH-01,78.5
04005721,PHIL-03,65.7
04009431,MATH-01,66.6
04005421,CS-03,57.5
04002841,ENV-02,84.1
04005141,CE-05,87.1
04002311,PHIL-02,91.3
04009571,PSY-05,86.5
04005530,MUS-01,87.4
04000610,EE-04,70.6
04006571,ME-01,61.2
04006861,ECON-01,68.7
04002550,CHEM-03,56.2
04008810,SE-05,83.8
04000361,ME-04,81.7
04002080,CE-02,74.5
04003491,CHEM-03,35.9
04000960,MATH-04,89.1
04001611,MATH-04,79.0
04004170,SOC-01,64.5
04008721,PSY-05,75.8
04001580,MUS-02,69.3
04004170,SOC-04,94.2
04001390,LAW-02,63.6
04002511,STAT-05,88.8
04001001,SE-04,95.9
04003230,ME-04,48.2
04005041,ENV-03,70.4
04003700,STAT-03,61.3
04006030,ME-03,87.5
04000281,MUS-03,61.2
04002190,SE-03,72.1
04009980,PHIL-01,80.4
04002281,PHIL-03,88.4
04006741,BIO-03,78.3
04006800,ART-02,50.6
04009610,SOC-04,97.3
04006190,PHYS-01,50.8
04009421,ENV-02,72.3
04002260,PHYS-05,83.1
04000351,EE-05,64.9
04005700,LAW-05,94.5
04006730,SOC-05,92.0
04006701,EE-02,50.7
04003181,CS-03,79.9
04006030,CE-05,87.3
04005231,ENV-02,93.6
04008771,ENV-05,70.9
04009880,MATH-02,68.5
04007301,ECON-02,58.5
04007641,ECON-02,97.6
04000120,SOC-03,66.1
04008311,ART-05,89.0
04007621,ME-02,85.3
04003390,CHEM-02,84.5
04001290,CE-03,78.2
04005120,BIO-01,58.1
04003350,BIO-05,87.6
04005921,BIO-03,53.6
04004471,ECON-05,92.1
04001371,CE-03,83.4
04006110,ART-01,33.6
04005680,ECON-02,74.7
04001571,LAW-01,72.9
04007831,PHIL-02,87.8
04005691,LAW-01,77.8
04009780,MUS-02,50.2
04009021,ENV-02,69.9
04008130,PSY-04,75.8
04007380,HIST-01,47.6
04003920,BME-03,66.0
04004720,CHEM-02,39.7
04009380,ECON-04,73.0
04000610,ME-03,46.1
04009790,CS-04,77.6
04008711,SOC-05,63.3
04005981,MATH-05,81.4
04003911,EE-01,95.3
04004460,ME-04,47.2
04003020,CE-03,67.1
04002251,MATH-04,94.1
04005141,CS-03,44.8
04004451,PHYS-04,88.8
04002431,SOC-03,77.8
04009280,PHYS-02,67.9
04003421,CHEM-01,83.1
04004720,STAT-01,60.6
04001150,CE-02,30.0
04002201,PHYS-02,89.5
04001500,CE-03,85.1
04006491,MUS-03,89.7
04009821,BIO-01,92.7
04000610,CE-05,91.6
04002371,PHIL-04,79.7
04003740,ENV-02,90.2
04006571,ECON-01,83.5
04000331,PHYS-01,78.1
04001880,ME-01,59.7
04005691,SE-05,81.8
04009690,CE-05,68.0
04003010,PHYS-02,51.2
04006091,EE-01,92.7
04001861,MUS-03,56.8
04008351,BIO-01,60.0
04004310,CHEM-02,82.6
04005530,SE-02,92.6
04009630,EE-01,35.1
04009890,ECON-01,63.5
04003521,STAT-03,89.7
04001821,PHYS-02,73.6
04001961,ME-05,80.4
04005630,CS-04,72.8
04009721,BIO-04,85.1
04003811,PHYS-01,58.9
04003591,CHEM-02,34.8
04005251,EE-05,88.2
04003500,ME-02,91.2
04004691,ENV-04,91.8
04001150,ART-02,34.3
04001911,ECON-05,69.9
04006501,MUS-03,91.0
04004300,CS-04,50.9
04004540,SOC-05,51.0
04001290,ME-02,65.4
04008271,PHIL-03,71.1
04007091,SE-05,50.0
04001861,LAW-02,96.8
04002670,SE-03,77.4
04001371,ME-02,65.3
04005461,MATH-02,62.1
04001961,ENV-01,65.7
04007811,PSY-03,63.1
04003171,EE-02,54.1
04005461,ENV-03,30.0
04004791,LAW-05,65.9
04004751,ENV-03,86.6
04005721,MATH-04,87.0
04002881,ENV-03,93.1
04001890,ENV-01,72.9
04004601,ECON-03,53.0
04009190,STAT-04,75.3
04009331,MATH-01,95.8
04003491,ART-01,67.2
04003720,SOC-05,77.8
04002441,PHYS-02,93.0
04006260,HIST-04,76.9
04006381,ART-05,80.5
04001081,CHEM-02,73.4
04000721,ECON-03,64.0
04000451,CE-01,57.6
04001150,PHIL-01,71.9
04002530,STAT-02,72.6
04008590,PHIL-02,76.1
04003020,ME-02,79.7
04007031,PHYS-02,95.8
04004871,ECON-05,93.8
04007101,PHYS-04,88.5
04009411,PHIL-04,89.2
04008251,ME-05,85.9
04007110,ART-04,59.4
04009400,ENV-02,78.9
04000520,CHEM-04,97.0
04007911,MATH-04,79.7
04002731,ME-05,91.1
04001500,ME-02,62.4
04007621,LAW-03,86.5
04009440,PHIL-01,80.0
04004511,MATH-02,45.8
04008110,SOC-04,85.8
04007280,PHYS-03,59.4
04001771,HIST-03,98.1
04003460,ECON-03,32.8
04008920,SOC-01,65.1
04003281,SE-02,84.8
04008711,PSY-05,72.0
04002801,ECON-01,53.3
04000361,ART-05,61.6
04001880,ECON-01,77.7
04008251,ENV-01,99.1
04009931,BME-03,57.8
04008830,BIO-02,66.7
04008150,PHYS-05,55.1
04005120,MATH-05,65.0
04007450,ME-02,63.2
04001561,BIO-04,38.0
04003101,CE-02,43.1
04004010,LAW-04,82.0
04007110,SOC-05,84.4
04009901,PHIL-01,46.7
04008970,ENV-01,43.8
04006591,MATH-01,77.5
04005451,ART-02,80.8
04003641,ENV-04,61.9
04005821,PHYS-02,70.9
04003570,STAT-04,42.3
04007321,STAT-01,78.3
04008081,PSY-01,77.3
04004210,HIST-03,88.7
04003041,BIO-01,77.1
04001071,MUS-03,76.0
04002260,BIO-05,98.0
04004911,CHEM-03,62.7
04007941,ECON-01,53.4
04004651,MATH-04,76.0
04001460,BME-05,70.5
04007401,PHIL-02,93.7
04002861,ENV-04,73.5
04007161,STAT-02,89.8
04002260,MATH-05,55.3
04001651,MUS-01,53.4
04002431,EE-01,57.9
04008510,PHIL-05,51.7
04001561,BME-04,90.4
04004511,CS-05,35.3
04009641,ME-01,96.2
04008060,BIO-01,69.8
04009010,ART-01,83.7
04007250,MUS-01,74.4
04004751,CS-02,73.3
04002830,PSY-04,49.2
04008651,PSY-03,73.1
04000461,MUS-04,54.8
04003191,PSY-01,49.4
04001930,PHYS-03,67.5
04006350,BME-04,30.0
04004240,EE-03,38.5
04002590,PHYS-01,84.2
04005461,CHEM-01,89.2
04006901,ECON-05,69.6
04007391,EE-04,65.4
04001921,CHEM-03,57.5
04004620,PHYS-05,65.9
04003251,CS-01,30.0
04008950,MATH-05,66.3
04008471,PSY-02,91.5
04009350,BME-04,84.6
04008001,MATH-03,73.0
04007991,ART-04,77.9
04003631,CS-01,57.5
04003551,PSY-03,78.5
04001601,CHEM-01,69.1
04002321,SE-03,83.6
04000891,BIO-04,93.1
04004121,ME-04,76.0
04008671,PSY-03,68.0
04001721,MUS-03,78.9
04001991,CS-01,58.4
04003601,ENV-04,83.5
04005860,LAW-05,55.4
04006290,SE-01,53.8
04002000,STAT-05,60.3
04001290,LAW-03,43.3
04008320,ME-04,81.8
04006070,ART-01,80.5
04005131,ART-02,84.6
04000660,EE-03,61.4
04003720,PSY-05,91.9
04000600,EE-04,53.8
04008141,SOC-01,87.3
04008141,SOC-04,81.8
04004680,EE-03,83.9
04001331,ME-04,72.4
04000051,BME-04,57.6
04003131,BME-02,71.1
04002120,PHIL-03,56.0
04009740,ENV-03,83.5
04002401,STAT-01,67.8
04007850,SE-02,69.8
04001210,ENV-03,78.6
04008210,STAT-03,93.9
04002710,LAW-05,32.0
04002190,PSY-05,81.9
04008300,MATH-04,51.2
04000430,STAT-04,91.5
04009070,MUS-03,88.2
04004930,PHIL-04,79.5
04000470,ECON-02,53.2
04000891,BME-04,62.4
04009230,SE-02,62.4
04003671,BIO-02,78.3
04008050,ART-05,92.1
04004570,SOC-02,52.3
04005131,PHIL-01,70.2
04003460,BIO-02,89.3
04000511,BME-04,79.9
04001500,LAW-03,62.9
04000041,BIO-05,51.9
04008311,PHYS-02,96.3
04001271,SOC-04,82.8
04002581,CE-01,81.9
04005261,ME-03,60.1
04005310,ME-01,58.6
04009091,PHYS-01,92.1
04008530,ECON-05,89.0
04002771,HIST-05,87.6
04008180,HIST-05,74.3
04007110,PSY-05,68.1
04005491,SE-02,63.1
04006950,PHYS-01,43.8
04008841,BIO-01,68.0
04007750,HIST-03,40.0
04003681,BIO-04,70.8
04007391,BIO-01,91.7
04000151,CS-05,98.4
04009070,LAW-02,60.4
04006110,BIO-05,69.1
04002901,PHYS-01,78.9
04003860,CHEM-02,79.5
04000581,ART-02,47.6
04003101,SE-01,51.7
04000240,CS-01,70.4
04009780,STAT-01,90.5
04002031,HIST-05,64.9
04009641,ECON-01,93.7
04006110,MATH-05,76.9
04001471,CE-04,87.7
04008461,ECON-03,85.4
04001001,PHYS-03,42.1
04009171,CS-04,88.4
04006350,SOC-03,86.1
04002311,EE-03,67.4
04000351,ME-01,74.7
04008890,CS-01,90.5
04007191,CHEM-05,72.1
04003570,BME-03,90.0
04009790,ME-02,44.6
04004390,PHYS-04,70.8
04008060,CS-03,47.6
04000110,PHIL-01,73.6
04001880,PHIL-02,89.6
04009350,SOC-03,63.6
04001631,HIST-04,57.0
04008231,EE-04,83.9
04009750,ENV-01,55.9
04007561,CHEM-03,92.3
04007370,SOC-01,43.4
04003801,BME-04,54.2
04000490,PHYS-04,77.0
04001010,ME-01,90.4
04003240,ENV-03,90.2
04008090,ART-05,84.8
04009320,HIST-02,78.6
04009590,SE-05,51.4
04002171,PSY-02,84.0
04003641,CS-04,57.2
04005810,EE-02,68.8
04000581,PHIL-01,89.2
04009850,BIO-01,68.9
04000401,SOC-01,92.6
04007481,BME-03,83.8
04004310,PSY-04,52.5
04003980,SOC-02,74.9
04008681,BME-03,65.9
04001250,CE-01,90.8
04006220,PHYS-04,58.2
04008381,ECON-04,73.3
04007440,ENV-03,82.3
04003220,CE-03,53.6
04005050,PHIL-03,68.1
04000051,SOC-03,80.4
04001771,BIO-03,67.1
04006930,CHEM-01,58.0
04003750,CE-02,73.9
04009861,CS-01,55.9
04000151,CHEM-01,85.4
04003381,CHEM-05,63.7
04005881,MATH-04,70.8
04002970,ME-01,90.0
04007040,PSY-03,62.6
04003171,ECON-05,53.4
04000060,LAW-05,70.7
04000981,PHIL-02,85.0
04009021,ECON-03,61.7
04009630,MUS-01,74.3
04008060,MATH-05,90.5
04003031,PHYS-04,90.4
04008940,STAT-04,94.2
04003650,PHYS-01,93.9
04002291,PHYS-03,80.6
04007601,EE-01,81.4
04005201,SOC-03,65.0
04003161,CE-02,90.1
04000691,BIO-04,85.8
04008011,ART-02,80.4
