CID,CNAME,PERIOD,CREDIT,TEACHER
PHYS-23,电气与电子测量技术,32,2.0,罗利文
PHYS-24,大学生职业发展与就业指导,48,2.5,阮娟
PHYS-25,教师如何做研究,48,2.5,汪琼
PHYS-26,西方文论原典导读,64,4.0,窦可阳
PHYS-27,海上货物运输,4,0.5,田佰军
PHYS-28,先秦诸子思想,64,4.0,何善蒙
PHYS-29,数字电子技术,32,2.0,覃爱娜
PHYS-30,迷人的材料世界,32,2.0,卢艳丽
PHYS-31,奇妙的昆虫世界,32,2.0,吴梅香
PHYS-32,交替传译,64,4.0,余怿
PHYS-33,城市轨道交通运营管理,48,2.5,张星臣
PHYS-34,中学语文名篇选讲,48,2.5,孙绍振
PHYS-35,生物医学工程概论,16,1.0,卢婷利
PHYS-36,电子线路仿真设计与实验实例,64,4.0,王连英
PHYS-37,职场沟通英语,48,2.5,刘畅
PHYS-38,英国小说,48,2.5,王守仁
PHYS-39,土木工程材料（建筑材料）,32,2.0,王宝民
PHYS-40,过程设备设计,64,4.0,胡兆吉
PHYS-41,法学方法论,48,2.5,中国政法大学法学院雷磊
PHYS-42,结构化学,4,0.5,王军
PHYS-43,求职OMG-大学生就业指导与技能开发,48,2.5,辛远征
PHYS-44,计算机硬件技术基础,16,1.0,柳秀梅
PHYS-45,校本课程开发,32,2.0,孙芙蓉
PHYS-46,化工原理（下）,64,4.0,丁忠伟
PHYS-47,电工技术与电子技术（一）（电工学 上）,64,4.0,王香婷
PHYS-48,职业生涯与发展规划,32,2.0,汪立夏
PHYS-49,美在民间,16,1.0,胡燕
PHYS-50,史学名家的治史历程与方法,48,2.5,瞿林东
CHEM-01,女性学：女性精神在现代社会中的挑战,32,2.0,吴敏
CHEM-02,电工学,32,2.0,顾榕
CHEM-03,应用光学,48,2.5,黄一帆
CHEM-04,现代信息技术与中学地理教学,16,1.0,陈实
CHEM-05,普通话实训与测试,16,1.0,朱姝
CHEM-06,文采风流：近现代闽籍文人与作家,16,1.0,吕若涵
CHEM-07,生活中的纠纷与解决,4,0.5,赵旭光
CHEM-08,土木工程概论,32,2.0,熊峰
CHEM-09,轮机模拟训练,64,4.0,曾鸿
CHEM-10,食品化学与营养,4,0.5,倪莉
CHEM-11,大学物理典型问题解析—力学与热学,32,2.0,刘兆龙
CHEM-12,食品化学,32,2.0,汪东风
CHEM-13,信息检索,32,2.0,黄如花
CHEM-14,资源与环境经济学,32,2.0,石晓平
CHEM-15,呼吸系统疾病,48,2.5,杨艳平
CHEM-16,结构力学,32,2.0,范小春
CHEM-17,形势与政策,16,1.0,胡宝国
CHEM-18,有机化学（1）,32,2.0,唐玉海
CHEM-19,教育哲学,16,1.0,刘铁芳
CHEM-20,工科数学分析（二）,32,2.0,杨小远
CHEM-21,大学英语综合课程（三）,32,2.0,梁晓波
CHEM-22,英语演讲,32,2.0,蒋联江
CHEM-23,课堂管理的方法与艺术,16,1.0,王浪
CHEM-24,大学生瑜伽,48,2.5,亓昕
CHEM-25,物理化学（下）,48,2.5,白守礼
CHEM-26,翻转课堂教学法,48,2.5,汪琼
CHEM-27,教育研究方法,48,2.5,陈时见
CHEM-28,诺奖作家英文作品赏析,48,2.5,黄芙蓉
CHEM-29,儿童发展,16,1.0,但菲
CHEM-30,管理信息系统,64,4.0,裘江南
CHEM-31,台湾历史与文化,48,2.5,谢必震
CHEM-32,西方现代艺术赏析,32,2.0,铁娆娆
CHEM-33,高等代数（下）,64,4.0,杜妮
CHEM-34,循环经济与可持续发展型企业,16,1.0,毛建素
CHEM-35,环境与健康,32,2.0,龚胜生
CHEM-36,化学实验安全知识,48,2.5,冯红艳
CHEM-37,大学物理-力学和热学,64,4.0,刘建强
CHEM-38,生活药学,32,2.0,林清强
CHEM-39,人力资源管理——基于创新创业视角,32,2.0,张向前
CHEM-40,数字电子技术基础,48,2.5,侯建军
CHEM-41,电磁场与电磁波,48,2.5,丁君
CHEM-42,工程材料与机械制造基础,32,2.0,张景德
CHEM-43,遗传学,48,2.5,乔守怡
CHEM-44,市场营销学,48,2.5,陈章旺
CHEM-45,消防燃烧学,48,2.5,郭子东
CHEM-46,形势与政策,4,0.5,甘玲
CHEM-47,行政职业能力提升,48,2.5,李伟权
CHEM-48,概率论与数理统计,64,4.0,高晴
CHEM-49,制胜：一部孙子傲商海,64,4.0,刘爱军
CHEM-50,航海英语听力与会话,48,2.5,王海华
BIO-01,客户关系管理,48,2.5,钱丽萍
BIO-02,科技英语语法,32,2.0,马刚
BIO-03,软件工程专业导论,48,2.5,徐晓飞
BIO-04,材料力学,32,2.0,刘军
BIO-05,通信网络基础,48,2.5,盛敏
BIO-06,大学物理典型问题解析—近代物理,64,4.0,缪劲松
BIO-07,行政法学,48,2.5,江国华
BIO-08,数字图像处理,48,2.5,贾永红
BIO-09,大学物理实验,64,4.0,欧阳建明
BIO-10,摄影基础,32,2.0,张秋雯
BIO-11,军事理论,64,4.0,李彦涛
BIO-12,微积分（四）,32,2.0,尹逊波
BIO-13,新时代中国特色社会主义理论与实践,64,4.0,程京武
BIO-14,酒店管理原理,48,2.5,魏卫
BIO-15,Python语言程序设计,48,2.5,嵩天
BIO-16,Web前端开发,64,4.0,孙俏
BIO-17,视觉保健康复技术,32,2.0,刘宜群
BIO-18,高级财务会计,48,2.5,彭晓洁
BIO-19,中华诗词经典吟唱,32,2.0,刘冬颖
BIO-20,水利工程施工,48,2.5,杜志达
BIO-21,中国古典诗文朗诵与吟诵,4,0.5,李昌集
BIO-22,管理心理学（上）,32,2.0,祝小宁
BIO-23,美国文化,64,4.0,周毅
BIO-24,数字信号处理,48,2.5,朱学勇
BIO-25,法理学,32,2.0,付子堂
BIO-26,通用英语（一）,64,4.0,赵雯
BIO-27,生活中的货币时间价值,32,2.0,程静
BIO-28,德语语言学导论,48,2.5,王京平
BIO-29,化妆品赏析与应用,64,4.0,李利
BIO-30,班级管理,64,4.0,李伟胜
BIO-31,交通管理与控制,16,1.0,王昊
BIO-32,海商法,48,2.5,郭萍
BIO-33,创业之路——带你玩转商业模式,4,0.5,黄明睿
BIO-34,市场营销学,48,2.5,张云起
BIO-35,画法几何与技术制图基础,64,4.0,吴红丹
BIO-36,三维机械设计【3D-CAD】,48,2.5,刘宏新
BIO-37,人体解剖学,4,0.5,吕捷
BIO-38,数据库系统概论（新技术篇）,32,2.0,王珊
BIO-39,数据库系统概论（高级篇）,32,2.0,王珊
BIO-40,数据库系统概论（基础篇）,64,4.0,王珊
BIO-41,民事诉讼法学,48,2.5,段文波
BIO-42,行政管理学,64,4.0,梁忠民
BIO-43,中药与美容,64,4.0,邓雪阳
BIO-44,中学化学教学设计与实践,4,0.5,王磊
BIO-45,经济法,64,4.0,王先林
BIO-46,化工原理（下）,48,2.5,贾绍义
BIO-47,化工原理（上）,48,2.5,贾绍义
BIO-48,电子商务概论,48,2.5,杨兴凯
BIO-49,数字信号处理,32,2.0,王俊
BIO-50,系统设计创新与机器人实践,32,2.0,朱爱斌
ECON-01,电路,48,2.5,黄锦安
ECON-02,计算机控制系统,64,4.0,关守平
ECON-03,隋唐五代史专题,48,2.5,宁欣
ECON-04,概率论与数理统计,16,1.0,吴翊
ECON-05,多元统计分析及R语言建模,16,1.0,王斌会
ECON-06,审计学基础,48,2.5,王会金
ECON-07,中国税制,64,4.0,薛钢
ECON-08,速成汉语语法课堂,32,2.0,种一凡
ECON-09,机械基础实景教学（机械原理）,4,0.5,张锋
ECON-10,心理健康与创新能力,48,2.5,李媛
ECON-11,汇编语言程序设计,32,2.0,邢建川
ECON-12,动物营养学,32,2.0,姚军虎
ECON-13,刑事诉讼法,32,2.0,孙长永
ECON-14,电气控制实践训练,32,2.0,李继芳
ECON-15,数字电路01密码的奥秘,64,4.0,李政颖
ECON-16,脑洞大开背后的创新方法,48,2.5,冯林
ECON-17,脑洞大开背后的创新思维,64,4.0,冯林
ECON-18,国际贸易学,48,2.5,宋伟良
ECON-19,宏观经济学,64,4.0,文建东
ECON-20,微观经济学,16,1.0,文建东
ECON-21,高等数学（三）,64,4.0,张弢
ECON-22,数学建模,32,2.0,谭忠
ECON-23,偏微分方程,16,1.0,谭忠
ECON-24,结构生物化学,32,2.0,杨荣武
ECON-25,现代密码学,64,4.0,聂旭云
ECON-26,设计的力量,64,4.0,何人可
ECON-27,管理学原理,64,4.0,罗玲
ECON-28,体育舞蹈,48,2.5,姜桂萍
ECON-29,锻炼心理学,48,2.5,杨剑
ECON-30,运动与健康,64,4.0,代方梅
ECON-31,高速铁路牵引供电系统,32,2.0,陈维荣
ECON-32,国际私法,48,2.5,戴霞
ECON-33,民事诉讼法,32,2.0,刘敏
ECON-34,内部控制与风险管理,32,2.0,王清刚
ECON-35,中医内科学,64,4.0,薛博瑜
ECON-36,电磁场与电磁波,32,2.0,王慧
ECON-37,国际法,16,1.0,何志鹏
ECON-38,行政管理学,32,2.0,李明强
ECON-39,时尚与品牌,32,2.0,任力
ECON-40,天气学,32,2.0,舒守娟
ECON-41,模拟电子电路与技术基础,16,1.0,孙肖子
ECON-42,信号与系统,16,1.0,尹霄丽
ECON-43,模拟电子技术基础,16,1.0,王淑娟
ECON-44,市场营销英语,32,2.0,刘亮星
ECON-45,地理信息系统概论,64,4.0,张新长
ECON-46,植物学,32,2.0,强胜
ECON-47,信息组织原理与利用,48,2.5,Si LI
ECON-48,灾难逃生与自救,64,4.0,刘中民
ECON-49,工业药剂学,4,0.5,周建平
ECON-50,数学实验,16,1.0,张智丰
PSY-01,质量管理学,64,4.0,宋明顺
PSY-02,文学经典导读,64,4.0,戴建业
PSY-03,动物学,48,2.5,张雁云
PSY-04,知识产权法,16,1.0,何炼红
PSY-05,马克思主义民族理论与政策,48,2.5,龚永辉
PSY-06,漫画入门,32,2.0,杨小舟
PSY-07,机械原理,4,0.5,郭卫东
PSY-08,公司法,32,2.0,刘畅
PSY-09,走进创业,64,4.0,王自强/陶向南
PSY-10,单片机原理与汽车微机应用技术,64,4.0,仝秋红
PSY-11,创新管理,64,4.0,郑刚
PSY-12,城乡规划新技术GIS应用,48,2.5,李渊
PSY-13,程序设计入门——C语言,48,2.5,翁恺
PSY-14,零基础学Java语言,4,0.5,翁恺
PSY-15,小学语文教学设计,48,2.5,蒋蓉
PSY-16,财务管理,48,2.5,应千伟
PSY-17,人力资源管理,16,1.0,刘苹
PSY-18,ERP模拟演练,64,4.0,叶舟
PSY-19,电路,32,2.0,黄辉
PSY-20,好玩的广告学,64,4.0,汤志耘
PSY-21,动力气象学,64,4.0,张熠
PSY-22,复变函数,48,2.5,朱健民
PSY-23,高等数学（三）,32,2.0,朱健民
PSY-24,高等数学（四）,64,4.0,朱健民
PSY-25,电工学（电气工程学概论）,64,4.0,王萍
PSY-26,哲学、文化与人生智慧,64,4.0,欧阳康
PSY-27,药物设计学,32,2.0,付伟
PSY-28,单片机原理与应用,32,2.0,戴胜华
PSY-29,机械原理,64,4.0,赵自强
PSY-30,机械设计,32,2.0,吴鹿鸣
PSY-31,机械工程控制基础,16,1.0,罗忠
PSY-32,机械设计,32,2.0,宁方立
PSY-33,机械原理,48,2.5,葛文杰
PSY-34,传感技术及应用,16,1.0,张晓琳
PSY-35,理论力学,48,2.5,马红艳
PSY-36,材料力学,16,1.0,王博
PSY-37,社区护理学,32,2.0,冯辉
PSY-38,离散数学,48,2.5,王丽杰
PSY-39,概率论与数理统计,16,1.0,徐友才
PSY-40,管理学原理,48,2.5,王丽丽
PSY-41,实用日语（上）,32,2.0,刘婷
PSY-42,数据结构,32,2.0,耿国华
PSY-43,嵌入式软件设计,32,2.0,赖晓晨
PSY-44,分析化学,64,4.0,陈明丽
PSY-45,物理化学（下）,4,0.5,王志勇
PSY-46,物理化学（上）,32,2.0,王志勇
PSY-47,西方经济学（微观）,32,2.0,张衔
PSY-48,西方经济学（宏观）,48,2.5,张衔
PSY-49,经济学原理,32,2.0,李谷成
PSY-50,微生物的世界,48,2.5,陈峰
HIST-01,环境问题观察,32,2.0,张勇
HIST-02,大学化学（下）,16,1.0,王一凡
HIST-03,概率论与数理统计,32,2.0,荣腾中
HIST-04,概率论与数理统计,48,2.5,胡发胜
HIST-05,心理学与生活,32,2.0,陈昌凯
HIST-06,航天器控制原理,4,0.5,周军
HIST-07,电磁学,48,2.5,徐忠锋
HIST-08,物流系统工程,32,2.0,张庆英
HIST-09,理论力学,64,4.0,李海阳
HIST-10,机械制造技术基础,64,4.0,王时英
HIST-11,机械原理,32,2.0,王聪慧
HIST-12,城市生态规划,64,4.0,徐琳瑜
HIST-13,水声学,32,2.0,黄益旺
HIST-14,管理学,64,4.0,王文周
HIST-15,经济数学—微积分（一）,48,2.5,韩华
HIST-16,电路分析基础,64,4.0,钟洪声
HIST-17,概率论与数理统计,48,2.5,黄炜
HIST-18,走近马克思,32,2.0,田明
HIST-19,生活中的市场营销学,32,2.0,宁德煌
HIST-20,化工原理（下册）,32,2.0,潘艳秋
HIST-21,化工原理（上册）,64,4.0,都健
HIST-22,普通地质学,32,2.0,王博
HIST-23,传热学,32,2.0,陶文铨
HIST-24,声乐教学教改课程（三对“N”教学形式）,4,0.5,陈俊玲
HIST-25,有机化学（下）,48,2.5,姜文凤
HIST-26,有机化学（上）,32,2.0,姜文凤
HIST-27,中学教育见习与实习,48,2.5,戴建兵
HIST-28,高等数学（二）,16,1.0,孙艳蕊
HIST-29,高等数学（一）,48,2.5,孙艳蕊
HIST-30,语文课程标准与教材研究,32,2.0,郑国民
HIST-31,江南古代都会建筑与生态美学,48,2.5,王耘
HIST-32,计算机操作系统,32,2.0,骆斌
HIST-33,计算机系统与网络安全技术,64,4.0,周世杰
HIST-34,管理概论,48,2.5,邢以群
HIST-35,英语畅谈中国,48,2.5,王志茹
HIST-36,信息素养：效率提升与终身学习的新引擎,16,1.0,周建芳
HIST-37,货币银行学,64,4.0,范立夫
HIST-38,体育舞蹈与文化,32,2.0,刘君
HIST-39,循序渐进练瑜伽,64,4.0,王会儒
HIST-40,发展与就业,48,2.5,黄国华
HIST-41,化学与人类文明,64,4.0,唐玉海
HIST-42,大学计算机基础,64,4.0,赵柱
HIST-43,创业企业法律问题面面观,16,1.0,许翠霞
HIST-44,植物生理学,48,2.5,夏石头
HIST-45,计算机网络,64,4.0,李全龙
HIST-46,思想道德与法治,48,2.5,徐曼
HIST-47,高分子加工工艺,32,2.0,戴李宗
HIST-48,毛泽东思想和中国特色社会主义理论体系概论,64,4.0,陆卫明
HIST-49,中国少数民族神话赏析,48,2.5,汪立珍
HIST-50,魅力汉语,4,0.5,兰霞
STAT-01,卫生技术评估,4,0.5,陈英耀
STAT-02,数字信号处理,16,1.0,陈后金
STAT-03,无机化学（上）,64,4.0,马骁飞
STAT-04,有机化学,64,4.0,江洪
STAT-05,药理学,48,2.5,史小莲
STAT-06,ACCA财务管理F9,48,2.5,田高良
STAT-07,皮肤性病学,32,2.0,张春敏
STAT-08,混凝土结构设计原理,64,4.0,张望喜
STAT-09,无机元素化学,48,2.5,王莉
STAT-10,批判哲学视野中的人与技术,32,2.0,孙乐强
STAT-11,机械制造基础,64,4.0,赵立红
STAT-12,工程图学,16,1.0,姜杉
STAT-13,预防医学（一）,32,2.0,郑频频
STAT-14,社会学概论,64,4.0,杨建科
STAT-15,工程经济学,4,0.5,张欣莉
STAT-16,学术交流英语,32,2.0,陈美华
STAT-17,植物营养学,32,2.0,石磊
STAT-18,走向深度的合作学习,32,2.0,刘徽
STAT-19,课堂问答的智慧与艺术,32,2.0,刘徽
STAT-20,人格心理学,32,2.0,师保国
STAT-21,工程热力学,16,1.0,王维
STAT-22,大学物理—力学、振动与波动,16,1.0,李雪春
STAT-23,人工智能导论,16,1.0,王万良
STAT-24,高级语言程序设计,64,4.0,高克宁
STAT-25,C语言程序设计(上),16,1.0,李凤霞
STAT-26,大学计算机,48,2.5,李凤霞
STAT-27,人工智能与信息社会,16,1.0,陈斌
STAT-28,天文探秘,48,2.5,李向东
STAT-29,普通天文学,48,2.5,李向东
